begin,end,origin
2007/06/30 00:00,2007/07/01 00:15,FP
2008/10/08 04:54,2008/10/08 20:14,FP
2008/11/14 20:00,2008/11/15 17:13,FP
2009/03/03 10:22,2009/03/04 05:29,FP
2009/08/05 13:54,2009/08/06 00:37,FP
2010/02/11 13:00,2010/02/13 03:55,FP
2010/02/13 22:00,2010/02/15 17:30,FP
2010/02/16 03:37,2010/02/16 11:31,FP
2010/02/18 15:00,2010/02/22 02:30,FP
2010/03/08 06:24,2010/03/10 08:04,FP
2010/04/12 19:06,2010/04/12 22:59,FP
2010/04/22 06:13,2010/04/22 15:50,FP
2010/04/29 04:03,2010/04/29 09:03,FP
2010/07/14 21:53,2010/07/16 06:05,FP
2010/07/23 12:25,2010/07/23 17:15,FP
2010/08/08 10:22,2010/08/08 22:47,FP
2010/09/01 03:23,2010/09/02 01:14,FP
2010/10/17 00:58,2010/10/17 13:24,FP
2010/11/08 11:57,2010/11/09 03:12,FP
2010/11/17 12:04,2010/11/18 06:54,FP
2010/11/27 21:07,2010/11/27 23:50,FP
2011/02/04 09:12,2011/02/04 18:32,FP
2011/02/18 04:21,2011/02/18 09:29,FP
2011/03/10 07:36,2011/03/11 15:59,FP
2011/03/15 05:42,2011/03/17 13:00,FP
2011/03/18 02:38,2011/03/19 12:00,FP
2011/07/15 07:44,2011/07/16 09:44,FP
2011/07/18 09:02,2011/07/19 08:00,FP
2011/08/05 05:24,2011/08/05 13:31,FP
2011/09/26 15:45,2011/09/27 17:37,FP
2011/11/12 15:00,2011/11/14 23:00,FP
2012/01/02 17:49,2012/01/04 08:24,FP
2012/02/17 07:19,2012/02/17 23:51,FP
2012/03/02 21:13,2012/03/04 01:32,FP
2012/04/26 02:54,2012/04/27 20:58,FP
2012/05/31 19:49,2012/06/02 12:57,FP
2012/06/08 12:11,2012/06/10 15:28,FP
2012/06/17 20:25,2012/06/21 16:08,FP
2012/07/05 14:07,2012/07/06 11:37,FP
2012/07/06 18:19,2012/07/07 19:44,FP
2012/09/04 11:37,2012/09/04 22:12,FP
2012/10/31 23:39,2012/11/02 13:36,FP
2012/11/26 20:41,2012/11/27 15:40,FP
2013/02/17 11:14,2013/02/17 19:18,FP
2013/03/20 10:51,2013/03/22 13:50,FP
2013/05/15 14:52,2013/05/17 05:45,FP
2013/05/17 15:34,2013/05/18 00:18,FP
2013/05/20 03:35,2013/05/20 09:22,FP
2013/05/26 00:13,2013/05/26 23:16,FP
2013/07/10 03:14,2013/07/12 02:03,FP
2013/09/03 04:21,2013/09/03 20:04,FP
2013/10/09 22:38,2013/10/11 03:06,FP
2013/10/12 22:00,2013/10/14 07:02,FP
2014/02/08 08:21,2014/02/09 15:35,FP
2014/02/20 10:46,2014/02/22 07:06,FP
2014/05/04 23:00,2014/05/05 20:06,FP
2014/07/14 19:46,2014/07/15 00:11,FP
2014/09/06 18:24,2014/09/08 07:06,FP
2014/09/12 09:00,2014/09/12 15:00,FP
2014/12/22 01:06,2014/12/23 10:23,FP
2015/02/16 13:16,2015/02/17 04:14,FP
2015/03/17 13:58,2015/03/18 09:48,FP
2015/07/13 13:34,2015/07/14 21:55,FP
2015/11/15 16:45,2015/11/17 20:00,FP
2015/12/31 18:32,2015/12/31 23:59,FP
2013/05/01 12:05,2013/05/01 16:57,FP
2001/03/12 20:49,2001/03/13 17:43,FP
2006/11/20 06:00,2006/11/23 01:28,FP
